"nombre","simbolo","mercado","ultimo","compra","venta","horario_ampliado","horario_ampliado_%","apertura","anterior","maximo","minimo","var","%_var","vol","fecha_prox_resultados","hora","cap_mercado","ganancia","vol_promedio_3m","bpa","per","beta","dividendo","rendimiento","5_minutos","15_minutos","30_minutos","1_hora","5_horas","diario","semanal","mensual","diario","semanal","mensual","anual","1_anio","3_anios"
"Commerzbank AG","CBKN.MX","MX","180.580","-","-","--","--","180.580","180.580","180.580","180.580","0.00","0.00%","-","13.05.2020","04/02","116,120,000,000","","2,004","-","-","-","-","-","","","","","","","","","0.00%","-0.00%","-0.00%","-0.00%","-0.00%","16.50%"
"BT Group PLC ADR","BTN.MX","MX","191.600","-","-","--","--","191.600","245.000","191.600","191.600","0.00","0.00%","-","07.05.2020","04/02","342,040,000,000","","2,000","-","-","-","-","-","","","","","","","","","0.00%","-0.00%","-0.00%","-0.00%","-32.32%","-49.97%"
"Topbuild Corp","BLD.MX","MX","2,090.000","-","-","--","--","2,128.000","2,319.000","2,128.000","2,090.000","0.00","0.00%","-","12.05.2020","25/02","63,110,000,000","","1,448","-","-","-","-","-","Venta","Venta","Venta fuerte","Neutral","Compra fuerte","Compra fuerte","Compra fuerte","Compra fuerte","0.00%","0.00%","0.00%","7.01%","65.87%","138.23%"
"Aggreko","AGKN.MX","MX","214.150","-","-","--","--","214.150","206.780","214.150","214.150","+0.00","+0.00%","-","06.08.2020","04/02","79.14T","","26,450","-","-","-","-","-","","","","","","","","","0.00%","0.00%","0.00%","0.00%","0.00%","-1.65%"
"Aluminum Corp of China Ltd ADR","ACHN.MX","MX","138.990","-","-","--","--","137.500","158.000","138.990","137.500","+0.00","+0.00%","-","26.03.2020","12/02","162,790,000,000","4,250,000,000","183","-","-","-","-","-","Compra","Compra fuerte","Compra","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","0.00%","-0.00%","-0.00%","-12.03%","-24.46%","-41.40%"
"Sabesp","SBSN.MX","MX","160.16","-","-","--","--","160.16","150.00","160.16","160.16","+0.00","+0.00%","-","26.03.2020","19/03","124,420,000,000","400,170,000","5,003","-","-","-","-","-","Compra fuerte","Compra","Neutral","Venta fuerte","Venta fuerte","Venta","Venta fuerte","Venta","0.00%","-0.00%","-38.28%","-38.28%","-31.26%","-27.26%"
"Infineon Technologies AG","IFXN.MX","MX","341.13","-","-","--","--","341.13","311.90","341.13","341.13","+0.00","+0.00%","-","05.05.2020","24/03","429,660,000,000","","5,495","-","-","-","-","-","Compra","Compra fuerte","Neutral","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","0.00%","9.37%","-25.58%","-19.89%","-14.92%","-1.44%"
"Ubisoft Entertainment SA","UBIN.MX","MX","1,623.79","-","-","--","--","1,623.79","1,489.37","1,623.79","1,623.79","+134.42","+9.03%","25","19.05.2020","08:18:35","192,510,000,000","","6,271","-","-","-","-","-","Compra fuerte","Compra fuerte","Compra fuerte","Compra fuerte","Compra fuerte","Compra fuerte","Compra fuerte","Compra fuerte","9.03%","2.20%","9.79%","24.55%","3.40%","110.67%"
"Western Union Company","WU.MX","MX","482.67","-","-","--","--","486.00","493.75","486.00","482.00","0.00","0.00%","-","06.05.2020","18/02","194,710,000,000","","354","-","-","-","-","-","Venta fuerte","Venta fuerte","Venta","Neutral","Compra fuerte","Compra fuerte","Compra fuerte","Compra fuerte","0.00%","-0.00%","-0.00%","-6.46%","36.48%","27.42%"
"Whirlpool Corporation","WHR.MX","MX","1,925.00","-","-","--","--","1,925.00","2,931.05","1,925.00","1,925.00","-1006.05","-34.32%","200","22.04.2020","12:58:06","74,420,000,000","","600","-","-","-","-","-","Neutral","Compra","Compra","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","","-34.32%","-34.32%","-34.32%","-36.61%","-31.25%","-41.42%"
"Weatherford International PLC","WFTN.MX","MX","8.90","-","-","--","--","8.65","10.50","8.90","8.65","0.00","0.00%","-","23.04.2020","04/02","9,760,000,000","","515","-","-","-","-","-","","","","","","","","","0.00%","0.00%","0.00%","0.00%","-42.21%","-92.53%"
"Weir Group PLC","WEIRN.MX","MX","216.66","-","-","--","--","216.66","327.03","216.66","216.66","0.00","0.00%","-","28.07.2020","24/03","52,300,000,000","","6,858","-","-","-","-","-","Neutral","Venta","Venta","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","0.00%","-33.75%","-36.27%","-42.42%","-47.59%","-52.95%"
"Western Digital Corporation","WDC.MX","MX","1,001.50","1,000.00","1,024.00","--","--","1,001.50","1,007.38","1,001.50","1,001.50","-5.88","-0.58%","13","05.05.2020","13:11:01","301,020,000,000","","5,688","-","-","-","-","-","Venta","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","Venta","-0.58%","15.46%","-24.42%","-15.13%","13.09%","-34.33%"
"Bausch Health Companies Inc","BHCN.MX","MX","360.00","-","-","--","--","360.00","392.00","360.00","360.00","0.00","0.00%","-","12.05.2020","12/03","120,310,000,000","189,220,000","3,558","-","-","-","-","-","Venta","Venta","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","0.00%","0.00%","-16.84%","-35.83%","-24.61%","76.90%"
"Viscofan SA","VISCN.MX","MX","872.86","-","-","--","--","872.86","973.70","872.86","872.86","0.00","0.00%","-","23.04.2020","04/02","59,210,000,000","27,870,000","298","-","-","-","-","-","","","","","","","","","0.00%","0.00%","0.00%","0.00%","-11.85%","-12.17%"
"US Bancorp","USB.MX","MX","846.00","840.00","857.99","--","--","812.61","778.40","846.00","812.61","+67.60","+8.68%","2,550","15.04.2020","13:11:00","1.30T","","948","-","-","-","-","-","Neutral","Neutral","Venta","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","8.68%","8.46%","-17.37%","-25.41%","-8.18%","-13.92%"
"United Parcel Service Inc","UPS.MX","MX","2,329.00","-","-","--","--","2,329.00","2,280.00","2,329.00","2,329.00","+0.00","+0.00%","-","23.04.2020","20/03","1.97T","","218","-","-","-","-","-","Neutral","Compra","Compra fuerte","Compra fuerte","Compra fuerte","Compra fuerte","Compra fuerte","Compra fuerte","0.00%","0.00%","30.73%","3.51%","10.38%","15.76%"
"Union Pacific Corporation","UNP.MX","MX","3,176.88","-","-","--","--","3,176.88","2,750.00","3,176.88","3,176.88","+0.00","+0.00%","-","16.04.2020","24/03","2.28T","","538","-","-","-","-","-","Compra fuerte","Compra fuerte","Neutral","Neutral","Neutral","Neutral","Neutral","Compra fuerte","0.00%","15.52%","2.46%","-5.34%","2.81%","59.88%"
"Swatch Group I","UHRN.MX","MX","4,875.09","-","-","--","--","4,875.09","3,914.09","4,875.09","4,875.09","+0.00","+0.00%","-","06.05.2020","24/03","45,990,000,000","","3,858","-","-","-","-","-","Compra","Compra fuerte","Neutral","Venta","Venta","Venta","Venta","Venta fuerte","0.00%","24.55%","7.68%","-6.36%","-10.40%","-27.44%"
"Trinity Industries Inc","TRN.MX","MX","427.80","-","-","--","--","427.80","389.25","427.80","427.80","+0.00","+0.00%","-","22.04.2020","20/02","45,680,000,000","","1,940","-","-","-","-","-","Compra","Compra","Compra","Compra fuerte","Compra fuerte","Neutral","Compra","Neutral","0.00%","0.00%","0.00%","5.05%","-2.33%","-12.23%"
"TJX Companies Inc","TJX.MX","MX","1,101.15","-","-","--","--","1,101.15","1,108.00","1,101.15","1,101.15","-6.85","-0.62%","1,130","19.05.2020","09:06:41","1.33T","","1,115","-","-","-","-","-","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","Venta fuerte","Neutral","-0.62%","-0.62%","-10.26%","-5.19%","7.83%","-23.80%"
"TE Connectivity Ltd","TELN.MX","MX","1,821.50","-","-","--","--","1,821.50","1,740.20","1,821.50","1,821.50","+0.00","+0.00%","-","22.04.2020","04/02","492,950,000,000","","260","-","-","-","-","-","","","","","","","","","0.00%","0.00%","0.00%","0.00%","18.28%","30.11%"
